"1","2","3","4","5","6","7","8","9","10","11","12"
1.124211398,NA,NA,NA,NA,0.878630993,0.71384646,0.616741305,0.839791298,0.708298779,0.346901698,0.638605709
0.897289843,NA,NA,NA,NA,0.901865501,0.904384887,0.640495008,0.952989452,1.035311467,0.184764157,0.577358137
0.728722926,NA,NA,NA,NA,0.790057846,0.890162556,0.649153604,0.863270324,1.070102893,0.473407489,0.598030609
0.566226568,NA,NA,NA,NA,0.702003544,0.613442156,0.55647344,0.672102826,1.105436368,0.433349921,0.50129865
0.513190194,NA,NA,NA,NA,0.454675619,0.459630852,0.59929104,0.786764462,1.22433087,0.454224521,0.418936703
0.561174588,NA,NA,NA,NA,0.400157799,0.525559064,0.459910024,0.886002658,1.016520134,0.733753463,0.456306652
0.508475239,NA,NA,NA,NA,0.507035373,0.522730135,0.631796698,0.928950842,1.078271725,0.593786714,0.513154137
0.400416953,NA,NA,NA,NA,0.500109575,0.66210798,0.998995223,0.841136535,1.161030568,0.508023574,0.476964663
0.637111901,NA,NA,NA,NA,0.73666855,0.610170852,0.578273833,0.785473401,1.011246299,0.356772573,0.508156233
0.357574574,NA,NA,NA,NA,0.493106838,0.565258392,0.438229804,0.792359233,0.799542835,0.199386639,0.63669591
0.314572569,NA,NA,NA,NA,0.510057269,0.548785109,0.516946523,0.853860039,0.966175302,0.226232338,0.428009546
0.325513147,NA,NA,NA,NA,0.394130846,0.418299831,0.398244628,0.686155162,0.941463374,0.357164515,0.339460126
0.347697085,1.175528606,0.641850222,1.225024374,1.121270224,0.304115294,0.553992885,0.356013838,0.595016888,0.943297491,0.715532907,0.346406927
0.282718948,1.065171528,1.057049179,1.090417337,1.001417984,0.377086015,0.642655927,0.433254909,0.681455106,0.811164117,0.536442529,0.302212653
0.438266778,1.173824293,1.304397572,1.126697977,1.146545266,0.551726082,0.622504831,0.57231152,0.544902987,0.986196081,0.501939946,0.359261527
0.399286466,1.241549542,NA,1.327505742,1.255415489,0.695844511,0.554372711,0.432592444,0.572625816,0.786732654,0.314264828,0.294380373
0.33497321,1.121955387,NA,1.246096856,1.096261073,0.406921206,0.42205866,0.275289755,0.601543887,0.919524904,0.270083052,0.216847079
0.369232131,0.973466526,0.980517612,1.040615975,0.920599042,0.290402933,0.389898528,0.401147738,0.621423996,0.864652761,0.318077296,0.495822841
0.221740735,1.045677597,1.258386608,0.93570323,0.99566332,0.554475966,0.422592759,0.448754429,0.6015152,0.768852909,0.171441951,0.52731511
0.266975008,1.078004916,1.18935513,0.973529729,0.997991543,0.360963679,0.235260481,0.485054134,0.507320485,0.861882854,0.227011807,0.636094841
0.419082804,1.070815426,1.235972642,0.971939388,1.197147786,0.330140026,0.251800564,0.480437025,0.471601221,0.703497877,0.339520668,0.571538047
0.365216175,1.211406162,1.134159566,1.300160452,1.163849397,0.850638748,0.460219444,0.492857338,0.623489426,1.065504278,0.149782021,0.526746724
0.239831761,1.164009255,1.359560433,1.047421831,1.208997188,0.863336007,0.734183718,0.757506573,0.842791868,1.189618792,0.217767915,0.44353254
0.29424332,1.059379162,1.120552659,0.959644048,1.067195825,0.593489744,0.914766267,0.405782508,0.588303584,0.898606577,0.337952424,0.607919113
0.288102319,1.075297328,1.220756567,0.969383985,1.091612782,0.644608354,0.536725723,0.352958484,0.567225533,0.841040428,0.202392483,0.544016111
0.161023035,1.019299217,1.217956717,0.867760245,0.945620242,0.566102944,0.672014673,0.464787515,0.648690012,0.948371909,0.155502077,0.577277011
0.138148105,0.958642094,1.092749645,0.891943483,0.884758275,0.600450041,0.276490043,0.576576655,0.609900618,0.81999811,0.12734554,0.539882053
0.150917771,1.078372747,1.271421499,1.057384965,1.067571445,0.464332862,0.198207847,0.448835122,0.622516425,0.971187933,0.025830207,0.407079515
0.207238944,1.161140908,1.026019145,1.329191792,1.163941635,0.413300512,0.237823898,0.375636289,0.493231419,0.866238992,0.069321977,0.456235163
0.111299659,1.105553369,1.268481755,1.033831037,1.161970914,0.203733987,0.141064904,0.366446105,0.459319409,0.803562307,0.043636793,0.394788943
0.096092429,1.118614133,1.017334137,1.015078341,1.115372504,0.223354075,0.170304095,0.41701427,0.668888566,1.101537469,0.124929411,0.324840413
0.19069862,1.090059815,1.060968419,1.056469476,1.151753996,0.212260919,0.328442629,0.325199099,0.489468644,0.913662205,0.035827091,0.538140046
0.212176802,1.097559652,1.026831233,1.133331145,1.137273549,0.435875434,0.174717451,0.37195096,0.559255016,0.87031653,0.088737873,0.534571906
